Jsc,Voc,FF,Efficiency,Sr,Sp,Temp,Class
10.29,0.55,75.78,4.26,3.55,25080.33,40,1
10.26,0.55,75.59,4.28,3.59,27900.01,40,1
10.38,0.56,77.38,4.48,3.35,28561.71,40,1
10.21,0.55,76.12,4.30,3.52,27273.39,40,1
11.64,0.55,75.67,4.86,3.66,22792.24,40,2
11.60,0.55,74.50,4.77,4.46,17311.36,40,2
11.67,0.56,75.99,4.92,3.95,30102.40,40,2
11.63,0.55,75.84,4.89,4.09,34005.00,40,2
11.60,0.55,74.08,4.76,5.12,33046.35,40,2
11.55,0.56,29.84,1.91,73.70,595.65,40,2
11.60,0.56,75.59,4.89,4.23,48797.90,40,2
11.61,0.56,76.39,4.94,3.81,37667.42,40,2
9.35,0.54,78.09,3.95,3.49,21709.09,107,1
9.47,0.56,79.06,4.20,3.37,31703.57,107,1
9.50,0.56,78.93,4.22,3.32,32827.18,107,1
9.33,0.53,76.56,3.79,3.57,18058.99,107,1
7.31,0.40,66.19,1.95,5.95,2231.49,107,2
8.19,0.42,67.52,2.34,5.26,3052.50,107,2
9.05,0.44,68.41,2.73,4.79,4149.03,107,2
9.07,0.44,67.79,2.70,4.90,3801.57,107,2
10.22,0.51,74.79,3.92,3.53,10546.44,107,2
10.49,0.55,78.89,4.54,2.98,22919.14,107,2
10.50,0.56,79.57,4.64,2.87,29905.85,107,2
9.92,0.49,72.58,3.53,3.81,8385.29,107,2
9.29,0.54,74.35,3.75,5.89,22280.53,185,1
9.37,0.56,77.26,4.06,3.90,62179.63,185,1
9.28,0.56,77.05,3.98,3.87,54566.59,185,1
8.92,0.50,71.19,3.16,4.98,9544.94,185,1
10.60,0.54,77.79,4.43,3.35,17736.13,185,2
10.07,0.49,74.00,3.67,3.84,5921.52,185,2
10.30,0.50,73.48,3.76,3.92,7127.89,185,2
10.34,0.49,70.02,3.57,4.54,6963.98,185,2
10.69,0.55,78.52,4.63,3.28,30280.68,185,2
10.81,0.57,78.25,4.78,3.30,43398.99,185,2
10.80,0.56,78.52,4.79,3.36,40954.09,185,2
10.07,0.46,67.79,3.17,5.13,6767.73,185,2
9.77,0.51,76.96,3.87,3.26,6703.78,340,1
10.02,0.52,76.91,4.03,3.28,8737.68,340,1
10.10,0.53,77.28,4.10,3.19,9129.01,340,1
10.00,0.52,77.32,4.05,3.20,9296.16,340,1
11.00,0.52,77.07,4.38,2.94,6082.77,340,2
11.14,0.52,76.80,4.47,3.25,7361.78,340,2
11.02,0.52,76.52,4.39,3.39,6969.22,340,2
10.94,0.51,75.30,4.24,3.50,6071.50,340,2
11.17,0.52,77.06,4.47,2.87,6445.34,340,2
11.22,0.52,76.83,4.52,3.28,7688.64,340,2
11.30,0.53,76.88,4.59,3.22,8717.94,340,2
11.09,0.52,76.74,4.44,3.30,7182.42,340,2
10.01,0.06,25.28,0.16,6.18,0.01,475,1
10.87,0.56,74.89,4.59,3.90,1762.49,475,1
10.73,0.56,77.62,4.63,3.63,18988.08,475,1
7.70,0.37,59.69,1.69,8.32,1912.76,475,1
11.27,0.53,75.72,4.51,3.93,7624.36,475,2
11.20,0.52,74.75,4.40,4.19,7556.55,475,2
10.31,0.49,67.05,3.40,5.12,4535.57,475,2
6.93,0.30,56.54,1.18,8.10,796.13,475,2
12.11,0.55,77.16,5.15,3.78,15317.47,475,2
12.39,0.56,77.01,5.38,3.60,23966.02,475,2
12.09,0.55,77.58,5.17,3.63,14246.39,475,2
7.73,0.33,58.19,1.49,7.74,980.31,475,2
7.34,0.33,49.67,1.22,13.47,497.65,40,3
7.32,0.34,50.22,1.24,13.73,562.39,40,3
7.52,0.34,49.59,1.27,14.48,555.77,40,3
7.02,0.34,48.45,1.16,16.00,514.67,40,3
7.36,0.35,51.52,1.34,13.22,648.74,40,3
7.24,0.34,51.17,1.27,12.93,606.18,40,3
6.96,0.35,50.55,1.22,14.60,633.66,40,3
6.86,0.35,47.90,1.15,18.79,567.39,40,3
4.35,0.32,54.93,0.76,14.41,994.53,107,3
4.47,0.32,54.90,0.79,14.10,1021.26,107,3
4.66,0.32,55.20,0.83,13.59,1014.84,107,3
4.74,0.33,55.31,0.86,13.43,1014.91,107,3
4.77,0.32,54.13,0.83,13.66,821.83,107,3
4.85,0.32,54.09,0.84,13.62,847.21,107,3
4.94,0.33,54.30,0.88,13.39,851.23,107,3
5.12,0.33,54.63,0.92,12.82,852.50,107,3
5.70,0.33,55.28,1.04,11.23,849.77,185,3
