Triangle,Max_Length
1,0.632
2,1.362
3,1.254
4,1.985
5,1.36
8,1.052
9,1.962
10,1.992
11,1.685
12,1.631
13,1.107
14,1.78
15,1.666
16,1.386
17,1.338
18,1.478
19,0.987
20,1.909
21,1.961
22,1.953
23,1.605
25,1.761
26,1.117
27,1.349
30,1.879
31,1.876
32,1.775
33,1.356
34,1.058
35,1.123
36,1.077
37,0.055
38,0.828
39,1.782
40,1.759
41,1.915
42,1.926
