Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
12.98,0.43,39.48,2.19,9.13,74.67,40,650,4
9.33,0.53,76.56,3.79,3.57,18058.99,107,600,6
14.42,0.46,67.46,4.45,3.52,5925.49,40,550,1
8.49,0.37,56.92,1.81,10.16,661.33,40,500,3
13.87,0.48,64.13,4.29,6.51,3238.56,40,650,3
13.12,0.44,60.08,3.47,7.35,1754.22,40,600,3
14.58,0.54,48.6,3.81,25.12,8838.81,40,450,1
5.56,0.21,40.83,0.47,21.23,126.2,40,550,5
14.75,0.57,74.29,6.2,4.17,12532.03,40,700,2
14.92,0.55,70.26,5.8,4.14,15938.88,40,650,1
1.13,0.01,22.54,0.0,13.19,0.02,40,450,4
10.32,0.44,57.64,2.59,13.47,1999.95,40,700,4
10.8,0.56,78.52,4.79,3.36,40954.09,185,600,7
10.5,0.56,79.57,4.64,2.87,29905.85,107,600,7
12.77,0.45,63.58,3.64,5.31,1878.89,40,650,3
12.41,0.49,67.64,4.13,6.1,2272.78,40,650,4
9.07,0.44,67.79,2.7,4.9,3801.57,107,600,7
14.33,0.54,75.79,5.91,4.09,77860.21,40,700,2
13.19,0.43,57.23,3.23,7.38,1402.14,40,600,3
5.23,0.33,50.89,0.88,13.92,285.64,475,600,8
14.26,0.54,50.12,3.83,24.08,7801.2,40,450,1
10.38,0.56,77.38,4.48,3.35,28561.71,40,600,6
10.71,0.19,33.44,0.66,9.7,19.37,40,450,3
4.35,0.32,54.93,0.76,14.41,994.53,107,600,8
5.6,0.32,54.4,0.99,11.92,790.03,185,600,8
8.96,0.38,35.59,1.21,17.08,55.93,40,450,2
12.09,0.55,77.58,5.17,3.63,14246.39,475,600,7
6.91,0.13,25.48,0.23,17.65,1.55,40,450,2
14.97,0.57,70.96,6.01,4.57,60764.11,40,650,1
10.25,0.45,54.58,2.5,18.25,1966.84,40,700,4
13.72,0.48,63.95,4.21,6.5,3086.54,40,650,3
6.39,0.15,31.53,0.3,14.82,21.41,40,450,4
14.54,0.57,78.11,6.46,2.79,3248948.0,40,500,1
10.1,0.53,77.28,4.1,3.19,9129.01,340,600,6
11.64,0.55,75.67,4.86,3.66,22792.24,40,600,7
11.17,0.52,77.06,4.47,2.87,6445.34,340,600,7
10.77,0.28,48.31,1.43,6.28,158.69,40,450,3
5.51,0.32,53.06,0.94,13.6,585.65,475,600,8
4.94,0.23,44.47,0.51,18.15,277.65,40,600,5
