Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
12.96,440.11,59.66,3.4,7.53,1582.25,40,600,33.96,0.0377,3
11.27,528.36,75.72,4.51,3.93,7624.36,475,600,46.88,0.0099,1
8.19,423.39,67.52,2.34,5.26,3052.5,107,600,51.7,0.0221,1
6.98,69.64,24.85,0.12,9.61,0.49,40,450,9.98,50.7143,2
14.98,547.17,65.97,5.41,4.81,8152.23,40,650,36.53,0.0081,1
13.67,523.32,76.35,5.46,3.28,9004.15,40,450,38.28,0.0085,5
10.6,537.58,77.79,4.43,3.35,17736.13,185,600,50.72,0.0044,1
7.52,340.87,49.59,1.27,14.48,555.77,40,600,45.33,0.0892,5
6.46,211.67,35.35,0.48,19.44,74.16,40,500,32.77,0.4767,5
3.91,212.89,27.91,0.23,46.51,35.56,40,500,54.45,0.7849,4
11.14,522.52,76.8,4.47,3.25,7361.78,340,600,46.9,0.0104,1
12.98,426.37,39.48,2.19,9.13,74.67,40,650,32.85,0.5287,4
11.64,552.07,75.67,4.86,3.66,22792.24,40,600,47.43,0.0033,1
8.49,374.57,56.92,1.81,10.16,661.33,40,500,44.12,0.0861,3
13.87,482.47,64.13,4.29,6.51,3238.56,40,650,34.79,0.0198,3
13.12,440.89,60.08,3.47,7.35,1754.22,40,600,33.6,0.0342,3
14.58,538.05,48.6,3.81,25.12,8838.81,40,450,36.9,0.0055,1
10.3,496.54,73.48,3.76,3.92,7127.89,185,600,48.21,0.0103,1
13.77,475.23,67.14,4.39,4.5,6129.2,40,500,34.51,0.011,1
1.13,14.98,22.54,0.0,13.19,0.02,40,450,13.26,1127.0,4
10.32,436.03,57.64,2.59,13.47,1999.95,40,700,42.25,0.0288,4
14.02,534.32,76.12,5.7,3.76,18075.18,40,450,38.11,0.0042,5
5.56,207.6,40.83,0.47,21.23,126.2,40,550,37.34,0.3235,5
12.77,448.72,63.58,3.64,5.31,1878.89,40,650,35.14,0.0338,3
6.93,300.1,56.54,1.18,8.1,796.13,475,600,43.3,0.071,1
6.29,215.35,36.25,0.49,19.43,87.58,40,500,34.24,0.4139,5
14.33,544.56,75.79,5.91,4.09,77860.21,40,700,38.0,0.001,2
13.19,428.55,57.23,3.23,7.38,1402.14,40,600,32.49,0.0408,3
5.23,332.05,50.89,0.88,13.92,285.64,475,600,63.49,0.1782,5
14.26,535.53,50.12,3.83,24.08,7801.2,40,450,37.55,0.0064,1
14.89,568.37,73.72,6.24,5.44,635832.7,40,650,38.17,0.0001,1
10.71,185.67,33.44,0.66,9.7,19.37,40,450,17.34,1.7264,3
5.77,328.49,55.21,1.05,11.18,838.3,185,600,56.93,0.0659,5
8.96,378.17,35.59,1.21,17.08,55.93,40,450,42.21,0.6363,2
6.86,351.43,47.9,1.15,18.79,567.39,40,600,51.23,0.0844,5
10.34,493.11,70.02,3.57,4.54,6963.98,185,600,47.69,0.0101,1
10.25,447.35,54.58,2.5,18.25,1966.84,40,700,43.64,0.0278,4
13.72,480.01,63.95,4.21,6.5,3086.54,40,650,34.99,0.0207,3
6.39,150.51,31.53,0.3,14.82,21.41,40,450,23.55,1.4727,4
14.54,568.99,78.11,6.46,2.79,3248948.0,40,500,39.13,0.0,1
11.63,554.27,75.84,4.89,4.09,34005.0,40,600,47.66,0.0022,1
13.09,380.24,26.64,1.33,24.77,7.36,40,700,29.05,3.6196,1
7.31,402.84,66.19,1.95,5.95,2231.49,107,600,55.11,0.0297,1
10.77,275.15,48.31,1.43,6.28,158.69,40,450,25.55,0.3044,3
5.51,322.61,53.06,0.94,13.6,585.65,475,600,58.55,0.0906,5
7.24,343.24,51.17,1.27,12.93,606.18,40,600,47.41,0.0844,5
13.17,441.09,60.87,3.54,6.69,1762.5,40,600,33.49,0.0345,3
5.61,213.11,41.14,0.49,17.2,165.88,40,550,37.99,0.248,5
10.85,276.9,42.83,1.29,8.81,91.59,40,450,25.52,0.4676,3
13.59,483.53,60.14,3.95,6.29,4001.04,40,550,35.58,0.015,2
13.04,429.32,57.38,3.21,7.49,1372.89,40,600,32.92,0.0418,3
12.03,513.05,71.29,4.4,3.5,4335.99,40,700,42.65,0.0164,1
14.36,569.61,78.34,6.41,2.72,104744.9,40,600,39.67,0.0007,1
14.33,544.56,75.79,5.91,4.09,77860.21,40,450,38.0,0.001,5
10.8,564.82,78.52,4.79,3.36,40954.09,185,600,52.3,0.0019,1
16.47,353.57,25.4,1.48,20.2,1.83,40,450,21.47,13.8798,1
6.86,272.25,32.87,0.61,20.27,43.58,40,500,39.69,0.7542,4
14.02,534.32,76.12,5.7,3.76,18075.18,40,700,38.11,0.0042,2
11.35,396.84,59.15,2.67,6.33,2191.22,40,600,34.96,0.027,2
5.13,327.74,55.77,0.94,12.72,1035.56,340,600,63.89,0.0539,5
12.11,551.7,77.16,5.15,3.78,15317.47,475,600,45.56,0.005,1
4.63,105.74,32.9,0.16,13.33,21.44,40,500,22.84,1.5345,4
4.74,326.59,55.31,0.86,13.43,1014.91,107,600,68.9,0.0545,5
4.85,310.43,52.42,0.79,17.6,563.26,40,500,64.01,0.0931,4
12.04,470.3,60.58,3.43,10.05,2590.3,40,700,39.06,0.0234,3
11.67,555.38,75.99,4.92,3.95,30102.4,40,600,47.59,0.0025,1
14.78,515.16,69.0,5.25,3.69,60393.21,40,550,34.86,0.0011,1
13.4,478.43,64.94,4.16,6.24,3183.02,40,650,35.7,0.0204,3
13.68,548.51,76.84,5.76,3.95,36090.37,40,600,40.1,0.0021,2
11.22,524.69,76.83,4.52,3.28,7688.64,340,600,46.76,0.01,1
13.56,479.41,53.46,3.48,5.34,190.03,40,500,35.35,0.2813,1
10.5,403.3,56.55,2.39,10.51,719.17,40,550,38.41,0.0786,3
10.31,492.7,67.05,3.4,5.12,4535.57,475,600,47.79,0.0148,1
11.3,528.19,76.88,4.59,3.22,8717.94,340,600,46.74,0.0088,1
10.51,443.03,61.34,2.86,10.02,1247.46,40,600,42.15,0.0492,4
13.47,479.02,64.84,4.18,6.2,2983.74,40,650,35.56,0.0217,3
11.6,557.44,75.59,4.89,4.23,48797.9,40,600,48.06,0.0015,1
5.43,209.31,34.01,0.39,22.5,52.7,40,550,38.55,0.6454,5
8.74,377.42,57.71,1.9,9.25,650.02,40,500,43.18,0.0888,3
11.77,462.76,59.72,3.25,10.1,2448.28,40,700,39.32,0.0244,3
11.76,471.91,57.51,3.19,15.77,3224.08,40,700,40.13,0.0178,4
12.39,563.6,77.01,5.38,3.6,23966.02,475,600,45.49,0.0032,1
5.12,330.32,54.63,0.92,12.82,852.5,107,600,64.52,0.0641,5
5.02,223.71,38.89,0.44,21.85,146.05,40,600,44.56,0.2663,5
14.18,452.03,63.69,4.08,5.29,4327.76,40,550,31.88,0.0147,1
12.13,474.29,60.41,3.47,10.66,3085.31,40,700,39.1,0.0196,3
14.52,447.07,59.65,3.87,6.47,9716.24,40,450,30.79,0.0061,1
5.87,222.2,39.82,0.52,18.63,149.96,40,500,37.85,0.2655,5
9.92,490.43,72.58,3.53,3.81,8385.29,107,600,49.44,0.0087,1
10.62,250.27,39.18,1.04,9.41,57.29,40,450,23.57,0.6839,3
6.07,159.52,26.69,0.26,23.1,7.02,40,450,26.28,3.802,2
1.02,67.34,24.48,0.02,67.47,-2.97,40,450,66.02,-8.2424,4
14.14,550.1,71.02,5.52,5.1,14534.73,40,700,38.9,0.0049,2
11.4,248.53,38.53,1.09,8.92,45.23,40,450,21.8,0.8519,3
7.34,334.77,49.67,1.22,13.47,497.65,40,600,45.61,0.0998,5
6.91,128.24,25.48,0.23,17.65,1.55,40,450,18.56,16.4387,2
10.44,449.78,59.88,2.81,10.18,1911.77,40,700,43.08,0.0313,3
14.35,554.09,74.61,5.93,2.96,17739.8,40,600,38.61,0.0042,1
10.84,448.9,60.16,2.93,11.73,1235.25,40,600,41.41,0.0487,4
11.6,551.96,74.5,4.77,4.46,17311.36,40,600,47.58,0.0043,1
13.82,484.45,64.18,4.3,6.67,3312.75,40,650,35.05,0.0194,3
4.94,326.55,54.3,0.88,13.39,851.23,107,600,66.1,0.0638,5
10.37,272.72,48.98,1.39,6.25,180.68,40,450,26.3,0.2711,3
14.97,565.69,70.96,6.01,4.57,60764.11,40,650,37.79,0.0012,1
5.62,215.46,43.44,0.53,15.41,204.0,40,550,38.34,0.2129,5
5.7,329.64,55.28,1.04,11.23,849.77,185,600,57.83,0.0651,5
12.42,493.54,68.25,4.18,11.78,3185.22,40,500,39.74,0.0214,2
11.75,475.06,66.3,3.7,6.28,2980.76,40,650,40.43,0.0222,4
11.29,460.24,57.13,2.97,16.58,1462.58,40,600,40.77,0.0391,4
10.23,282.57,49.6,1.43,8.54,552.07,40,600,27.62,0.0898,2
1.1,69.93,24.13,0.02,66.23,-3.96,40,450,63.57,-6.0934,4
12.41,491.98,67.64,4.13,6.1,2272.78,40,650,39.64,0.0298,4
10.85,281.2,41.53,1.27,9.71,77.61,40,450,25.92,0.5351,3
8.5,374.94,57.64,1.84,9.43,643.58,40,500,44.11,0.0896,3
6.22,141.29,31.08,0.27,14.51,18.55,40,450,22.72,1.6755,4
12.31,488.81,68.99,4.15,6.08,4229.91,40,650,39.71,0.0163,4
14.75,565.71,74.29,6.2,4.17,12532.03,40,700,38.35,0.0059,2
8.41,367.31,57.94,1.79,8.48,542.26,40,500,43.68,0.1068,3
14.49,574.71,78.71,6.55,2.52,42574.2,40,600,39.66,0.0018,1
5.33,351.3,59.25,1.11,10.77,796.96,40,550,65.91,0.0743,4
5.25,336.48,52.18,0.92,13.35,316.85,475,600,64.09,0.1647,5
13.67,523.32,76.35,5.46,3.28,9004.15,40,700,38.28,0.0085,2
5.06,328.54,56.42,0.94,12.9,1125.09,340,600,64.93,0.0501,5
11.0,516.98,77.07,4.38,2.94,6082.77,340,600,47.0,0.0127,1
