Jsc,Voc,FF,Efficiency,Sr,Sp,Temp,Class
11.75,0.48,66.3,3.7,6.28,2980.76,650,4
11.29,0.46,57.13,2.97,16.58,1462.58,600,4
12.03,0.51,71.29,4.4,3.5,4335.99,700,1
14.33,0.54,75.79,5.91,4.09,77860.21,450,5
12.41,0.49,67.64,4.13,6.1,2272.78,650,4
10.85,0.28,41.53,1.27,9.71,77.61,450,3
8.5,0.37,57.64,1.84,9.43,643.58,500,3
6.22,0.14,31.08,0.27,14.51,18.55,450,4
14.92,0.55,70.26,5.8,4.14,15938.88,650,1
14.75,0.57,74.29,6.2,4.17,12532.03,700,2
8.41,0.37,57.94,1.79,8.48,542.26,500,3
5.33,0.35,59.25,1.11,10.77,796.96,550,4
5.1,223.73,38.79,0.44,21.46,131.41,600,5
13.67,0.52,76.35,5.46,3.28,9004.15,700,2
14.89,0.38,55.77,3.2,6.28,2922.32,650,1
6.16,0.22,38.31,0.52,18.64,121.52,500,5
5.0,0.31,53.58,0.84,16.13,575.41,500,4
0.86,0.07,24.98,0.01,75.17,0.63,450,4
6.98,0.07,24.85,0.12,9.61,0.49,450,2
0.63,0.01,0.0,0.0,10.07,-0.05,450,4
4.94,0.23,44.47,0.51,18.15,277.65,600,5
13.88,0.54,53.88,4.06,26.62,4195.96,600,1
6.07,0.11,28.85,0.19,13.16,8.59,450,4
11.65,0.46,61.24,3.31,9.12,2454.54,700,3
12.31,0.49,68.99,4.15,6.08,4229.91,650,4
10.75,0.4,51.74,2.23,13.65,533.54,550,3
0.8,0.06,24.2,0.01,84.54,-7.1,450,4
14.2,0.45,66.78,4.24,3.63,4131.67,550,1
5.56,0.21,40.83,0.47,21.23,126.2,550,5
10.23,0.28,49.6,1.43,8.54,552.07,600,2
13.15,0.46,62.97,3.79,5.54,2220.54,650,3
14.61,0.49,67.92,4.85,3.9,21310.39,550,1
6.46,0.21,35.35,0.48,19.44,74.16,500,5
11.4,0.25,38.53,1.09,8.92,45.23,450,3
1.1,0.07,24.13,0.02,66.23,-3.96,450,4
12.54,0.43,58.07,3.14,5.03,858.65,500,1
14.72,0.56,76.48,6.34,3.22,31409.97,700,2
14.54,0.56,76.07,6.23,3.03,31612.66,500,1
6.91,0.13,25.48,0.23,17.65,1.55,450,2
9.13,0.44,55.18,2.19,17.32,831.57,700,4
13.66,0.52,71.31,5.05,5.71,8872.11,550,2
12.06,0.48,68.53,4.0,6.22,4056.18,650,4
5.14,0.29,43.86,0.65,26.52,279.09,550,4
13.74,0.51,73.55,5.2,3.82,8118.63,550,2
4.73,0.23,36.43,0.39,25.54,101.81,600,5
10.31,0.4,53.59,2.23,13.22,714.49,550,3
6.04,0.22,39.08,0.52,18.35,133.47,500,5
5.42,0.02,24.95,0.03,4.31,-0.04,500,4
6.04,0.19,28.34,0.33,24.92,17.79,450,2
8.74,0.38,57.71,1.9,9.25,650.02,500,3
11.7,0.46,57.23,3.06,13.2,2367.56,700,4
13.16,0.2,39.07,1.05,7.61,43.01,700,1
5.97,0.41,54.04,1.33,12.11,525.57,450,2
