Jsc,Voc,FF,Efficiency,Rs,Rp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
5.97,411.4,54.04,1.33,12.11,525.57,40,450,68.91,43.3997,2
6.91,128.24,25.48,0.23,17.65,1.55,40,450,18.56,0.0878,2
6.05,133.55,26.13,0.21,20.31,3.8,40,450,22.07,0.1871,2
6.07,159.52,26.69,0.26,23.1,7.02,40,450,26.28,0.3039,2
6.04,189.8,28.34,0.33,24.92,17.79,40,450,31.42,0.7139,2
6.98,69.64,24.85,0.12,9.61,0.49,40,450,9.98,0.051,2
12.61,498.32,70.18,4.41,8.11,3689.16,40,500,39.52,454.8903,2
12.63,497.79,68.04,4.28,12.12,3488.8,40,500,39.41,287.8548,2
12.42,493.54,68.25,4.18,11.78,3185.22,40,500,39.74,270.3922,2
9.15,399.01,53.81,1.97,8.84,665.14,40,500,43.61,75.2421,2
6.82,126.77,33.33,0.29,10.96,21.7,40,500,18.59,1.9799,2
7.09,145.82,38.52,0.4,9.4,47.47,40,500,20.57,5.05,2
7.43,149.73,40.43,0.45,8.17,55.31,40,500,20.15,6.7699,2
13.97,514.91,71.93,5.18,4.41,7501.35,40,550,36.86,1700.9864,2
13.66,518.41,71.31,5.05,5.71,8872.11,40,550,37.95,1553.7846,2
13.94,519.38,72.7,5.26,4.57,8460.22,40,550,37.26,1851.2516,2
13.83,512.96,70.48,5.0,5.57,7309.23,40,550,37.09,1312.2496,2
13.57,506.94,71.51,4.92,3.94,5373.08,40,550,37.36,1363.7259,2
13.59,510.09,70.42,4.88,5.19,6021.88,40,550,37.53,1160.2852,2
13.74,513.99,73.55,5.2,3.82,8118.63,40,550,37.41,2125.2958,2
13.59,483.53,60.14,3.95,6.29,4001.04,40,550,35.58,636.0954,2
13.68,548.51,76.84,5.76,3.95,36090.37,40,600,40.1,9136.8025,2
13.77,547.29,77.13,5.81,3.57,18955.41,40,600,39.75,5309.6387,2
13.8,543.13,75.41,5.65,3.64,10962.68,40,600,39.36,3011.7253,2
12.68,502.11,56.15,3.58,7.36,189.2,40,600,39.6,25.7065,2
11.99,472.8,66.52,3.77,4.77,5742.96,40,600,39.43,1203.9748,2
11.35,396.84,59.15,2.67,6.33,2191.22,40,600,34.96,346.1643,2
10.23,282.57,49.6,1.43,8.54,552.07,40,600,27.62,64.6452,2
14.72,562.93,76.48,6.34,3.22,31409.97,40,700,38.24,9754.6491,2
14.75,565.71,74.29,6.2,4.17,12532.03,40,700,38.35,3005.283,2
14.66,565.51,74.91,6.21,4.02,69234.36,40,700,38.58,17222.4776,2
14.14,550.1,71.02,5.52,5.1,14534.73,40,700,38.9,2849.9471,2
13.67,523.32,76.35,5.46,3.28,9004.15,40,700,38.28,2745.1677,2
14.02,534.32,76.12,5.7,3.76,18075.18,40,700,38.11,4807.2287,2
14.33,544.56,75.79,5.91,4.09,77860.21,40,700,38.0,19036.7262,2
13.13,518.54,71.92,4.9,5.28,7083.52,40,700,39.49,1341.5758,2
16.47,353.57,25.4,1.48,20.2,1.83,40,450,21.47,0.0906,1
16.94,299.76,25.3,1.28,17.06,0.92,40,450,17.7,0.0539,1
14.33,540.3,53.85,4.17,20.76,9505.88,40,450,37.7,457.894,1
14.26,535.53,50.12,3.83,24.08,7801.2,40,450,37.55,323.9701,1
14.58,538.05,48.6,3.81,25.12,8838.81,40,450,36.9,351.8635,1
14.66,509.22,45.25,3.38,31.27,2926.67,40,450,34.74,93.5935,1
13.92,434.56,47.6,2.88,8.04,108.38,40,450,31.22,13.4801,1
14.52,447.07,59.65,3.87,6.47,9716.24,40,450,30.79,1501.7372,1
14.39,551.63,68.13,5.41,3.88,18432.61,40,500,38.33,4750.6727,1
14.0,511.59,65.49,4.69,4.61,4089.75,40,500,36.54,887.1475,1
13.77,475.23,67.14,4.39,4.5,6129.2,40,500,34.51,1362.0444,1
12.54,431.53,58.07,3.14,5.03,858.65,40,500,34.41,170.7058,1
14.54,568.99,78.11,6.46,2.79,3248948.0,40,500,39.13,1164497.491,1
14.54,563.76,76.07,6.23,3.03,31612.66,40,500,38.77,10433.2211,1
14.48,569.37,78.21,6.45,2.81,65893.63,40,500,39.32,23449.6904,1
13.56,479.41,53.46,3.48,5.34,190.03,40,500,35.35,35.5861,1
14.67,486.6,67.91,4.85,3.79,49536.2,40,550,33.17,13070.2375,1
14.63,514.44,69.54,5.23,3.66,12545.02,40,550,35.16,3427.6011,1
14.78,515.16,69.0,5.25,3.69,60393.21,40,550,34.86,16366.7236,1
14.61,488.79,67.92,4.85,3.9,21310.39,40,550,33.46,5464.2026,1
14.09,383.25,48.39,2.61,6.84,140.98,40,550,27.2,20.6111,1
14.42,457.19,67.46,4.45,3.52,5925.49,40,550,31.71,1683.3778,1
14.2,447.16,66.78,4.24,3.63,4131.67,40,550,31.49,1138.2011,1
14.18,452.03,63.69,4.08,5.29,4327.76,40,550,31.88,818.1021,1
14.36,569.61,78.34,6.41,2.72,104744.9,40,600,39.67,38509.1544,1
14.35,554.09,74.61,5.93,2.96,17739.8,40,600,38.61,5993.1757,1
14.32,553.51,75.76,6.0,2.87,17605.99,40,600,38.65,6134.4913,1
13.78,522.39,69.1,4.97,3.02,1758.23,40,600,37.91,582.1954,1
14.49,574.71,78.71,6.55,2.52,42574.2,40,600,39.66,16894.5238,1
14.33,571.65,78.61,6.44,2.71,17067.44,40,600,39.89,6297.9483,1
14.3,569.04,78.58,6.4,2.64,66796.54,40,600,39.79,25301.7197,1
13.88,543.27,53.88,4.06,26.62,4195.96,40,600,39.14,157.6243,1
14.89,384.93,55.77,3.2,6.28,2922.32,40,650,25.85,465.3376,1
14.97,565.69,70.96,6.01,4.57,60764.11,40,650,37.79,13296.3042,1
14.99,568.12,72.9,6.21,3.95,28829.6,40,650,37.9,7298.6329,1
14.98,547.17,65.97,5.41,4.81,8152.23,40,650,36.53,1694.8503,1
14.81,555.82,73.05,6.01,3.5,14950.86,40,650,37.53,4271.6743,1
14.92,553.6,70.26,5.8,4.14,15938.88,40,650,37.1,3849.971,1
14.89,568.37,73.72,6.24,5.44,635832.7,40,650,38.17,116881.011,1
