Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class,Voc_Jsc_Ratio,Rp_Ps_Ratio
10.32,436.03,57.64,2.59,13.47,1999.95,40,700,4,42.25,0.0288
10.76,453.04,56.47,2.75,16.36,2552.06,40,700,4,42.1,0.0221
10.46,446.52,55.82,2.61,16.11,1992.21,40,700,4,42.69,0.028
10.25,447.35,54.58,2.5,18.25,1966.84,40,700,4,43.64,0.0278
9.13,435.18,55.18,2.19,17.32,831.57,40,700,4,47.66,0.0664
8.96,378.17,35.59,1.21,17.08,55.93,40,450,2,42.21,0.6363
5.82,79.71,25.13,0.12,13.45,0.18,40,450,2,13.7,139.6111
5.97,411.4,54.04,1.33,12.11,525.57,40,450,2,68.91,0.1028
6.91,128.24,25.48,0.23,17.65,1.55,40,450,2,18.56,16.4387
6.05,133.55,26.13,0.21,20.31,3.8,40,450,2,22.07,6.8763
6.07,159.52,26.69,0.26,23.1,7.02,40,450,2,26.28,3.802
6.04,189.8,28.34,0.33,24.92,17.79,40,450,2,31.42,1.593
6.98,69.64,24.85,0.12,9.61,0.49,40,450,2,9.98,50.7143
12.61,498.32,70.18,4.41,8.11,3689.16,40,500,2,39.52,0.019
12.63,497.79,68.04,4.28,12.12,3488.8,40,500,2,39.41,0.0195
12.42,493.54,68.25,4.18,11.78,3185.22,40,500,2,39.74,0.0214
9.15,399.01,53.81,1.97,8.84,665.14,40,500,2,43.61,0.0809
6.82,126.77,33.33,0.29,10.96,21.7,40,500,2,18.59,1.5359
7.09,145.82,38.52,0.4,9.4,47.47,40,500,2,20.57,0.8115
7.43,149.73,40.43,0.45,8.17,55.31,40,500,2,20.15,0.731
13.97,514.91,71.93,5.18,4.41,7501.35,40,550,2,36.86,0.0096
13.66,518.41,71.31,5.05,5.71,8872.11,40,550,2,37.95,0.008
13.94,519.38,72.7,5.26,4.57,8460.22,40,550,2,37.26,0.0086
13.83,512.96,70.48,5.0,5.57,7309.23,40,550,2,37.09,0.0096
13.57,506.94,71.51,4.92,3.94,5373.08,40,550,2,37.36,0.0133
13.59,510.09,70.42,4.88,5.19,6021.88,40,550,2,37.53,0.0117
13.74,513.99,73.55,5.2,3.82,8118.63,40,550,2,37.41,0.0091
13.59,483.53,60.14,3.95,6.29,4001.04,40,550,2,35.58,0.015
13.68,548.51,76.84,5.76,3.95,36090.37,40,600,2,40.1,0.0021
13.77,547.29,77.13,5.81,3.57,18955.41,40,600,2,39.75,0.0041
13.8,543.13,75.41,5.65,3.64,10962.68,40,600,2,39.36,0.0069
12.68,502.11,56.15,3.58,7.36,189.2,40,600,2,39.6,0.2968
11.99,472.8,66.52,3.77,4.77,5742.96,40,600,2,39.43,0.0116
11.35,396.84,59.15,2.67,6.33,2191.22,40,600,2,34.96,0.027
10.23,282.57,49.6,1.43,8.54,552.07,40,600,2,27.62,0.0898
14.72,562.93,76.48,6.34,3.22,31409.97,40,700,2,38.24,0.0024
14.75,565.71,74.29,6.2,4.17,12532.03,40,700,2,38.35,0.0059
14.66,565.51,74.91,6.21,4.02,69234.36,40,700,2,38.58,0.0011
14.14,550.1,71.02,5.52,5.1,14534.73,40,700,2,38.9,0.0049
13.67,523.32,76.35,5.46,3.28,9004.15,40,700,2,38.28,0.0085
14.02,534.32,76.12,5.7,3.76,18075.18,40,700,2,38.11,0.0042
14.33,544.56,75.79,5.91,4.09,77860.21,40,700,2,38.0,0.001
13.13,518.54,71.92,4.9,5.28,7083.52,40,700,2,39.49,0.0102
16.47,353.57,25.4,1.48,20.2,1.83,40,450,1,21.47,13.8798
16.94,299.76,25.3,1.28,17.06,0.92,40,450,1,17.7,27.5
14.33,540.3,53.85,4.17,20.76,9505.88,40,450,1,37.7,0.0057
14.26,535.53,50.12,3.83,24.08,7801.2,40,450,1,37.55,0.0064
14.58,538.05,48.6,3.81,25.12,8838.81,40,450,1,36.9,0.0055
14.66,509.22,45.25,3.38,31.27,2926.67,40,450,1,34.74,0.0155
13.92,434.56,47.6,2.88,8.04,108.38,40,450,1,31.22,0.4392
14.52,447.07,59.65,3.87,6.47,9716.24,40,450,1,30.79,0.0061
14.39,551.63,68.13,5.41,3.88,18432.61,40,500,1,38.33,0.0037
14.0,511.59,65.49,4.69,4.61,4089.75,40,500,1,36.54,0.016
13.77,475.23,67.14,4.39,4.5,6129.2,40,500,1,34.51,0.011
12.54,431.53,58.07,3.14,5.03,858.65,40,500,1,34.41,0.0676
14.54,568.99,78.11,6.46,2.79,3248948.0,40,500,1,39.13,0.0
14.54,563.76,76.07,6.23,3.03,31612.66,40,500,1,38.77,0.0024
14.48,569.37,78.21,6.45,2.81,65893.63,40,500,1,39.32,0.0012
13.56,479.41,53.46,3.48,5.34,190.03,40,500,1,35.35,0.2813
14.67,486.6,67.91,4.85,3.79,49536.2,40,550,1,33.17,0.0014
14.63,514.44,69.54,5.23,3.66,12545.02,40,550,1,35.16,0.0055
