Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
10.51,0.44,61.34,2.86,10.02,1247.46,40,600,41.86,0.0492,4
13.47,0.48,64.84,4.18,6.2,2983.74,40,650,35.63,0.0217,3
11.6,0.56,75.59,4.89,4.23,48797.9,40,600,48.28,0.0015,1
5.43,0.21,34.01,0.39,22.5,52.7,40,550,38.67,0.6454,5
8.74,0.38,57.71,1.9,9.25,650.02,40,500,43.48,0.0888,3
11.77,0.46,59.72,3.25,10.1,2448.28,40,700,39.08,0.0244,3
11.76,0.47,57.51,3.19,15.77,3224.08,40,700,39.97,0.0178,4
12.39,0.56,77.01,5.38,3.6,23966.02,475,600,45.2,0.0032,1
5.12,0.33,54.63,0.92,12.82,852.5,107,600,64.45,0.0641,5
5.02,0.22,38.89,0.44,21.85,146.05,40,600,43.82,0.2663,5
14.18,0.45,63.69,4.08,5.29,4327.76,40,550,31.73,0.0147,1
12.13,0.47,60.41,3.47,10.66,3085.31,40,700,38.75,0.0196,3
14.52,0.45,59.65,3.87,6.47,9716.24,40,450,30.99,0.0061,1
5.87,0.22,39.82,0.52,18.63,149.96,40,500,37.48,0.2655,5
9.92,0.49,72.58,3.53,3.81,8385.29,107,600,49.4,0.0087,1
10.62,0.25,39.18,1.04,9.41,57.29,40,450,23.54,0.6839,3
6.07,0.16,26.69,0.26,23.1,7.02,40,450,26.36,3.802,2
1.02,0.07,24.48,0.02,67.47,2.97,40,450,68.63,8.2424,4
14.14,0.55,71.02,5.52,5.1,14534.73,40,700,38.9,0.0049,2
11.4,0.25,38.53,1.09,8.92,45.23,40,450,21.93,0.8519,3
7.34,0.33,49.67,1.22,13.47,497.65,40,600,44.96,0.0998,5
6.91,0.13,25.48,0.23,17.65,1.55,40,450,18.81,16.4387,2
10.44,0.45,59.88,2.81,10.18,1911.77,40,700,43.1,0.0313,3
14.35,0.55,74.61,5.93,2.96,17739.8,40,600,38.33,0.0042,1
10.84,0.45,60.16,2.93,11.73,1235.25,40,600,41.51,0.0487,4
11.6,0.55,74.5,4.77,4.46,17311.36,40,600,47.41,0.0043,1
13.82,0.48,64.18,4.3,6.67,3312.75,40,650,34.73,0.0194,3
4.94,0.33,54.3,0.88,13.39,851.23,107,600,66.8,0.0638,5
