Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
14.14,0.55,71.02,5.52,5.1,14534.73,40,450,5
13.67,0.52,76.35,5.46,3.28,9004.15,40,450,5
14.02,0.53,76.12,5.7,3.76,18075.18,40,450,5
14.33,0.54,75.79,5.91,4.09,77860.21,40,450,5
13.13,0.52,71.92,4.9,5.28,7083.52,40,450,5
6.16,0.22,38.31,0.52,18.64,121.52,40,500,5
6.04,0.22,39.08,0.52,18.35,133.47,40,500,5
5.95,0.22,39.82,0.52,18.26,146.3,40,500,5
5.87,0.22,39.82,0.52,18.63,149.96,40,500,5
6.33,0.21,36.36,0.49,18.84,87.22,40,500,5
6.46,0.21,35.35,0.48,19.44,74.16,40,500,5
6.29,0.22,36.25,0.49,19.43,87.58,40,500,5
5.1,0.22,33.13,0.36,27.08,59.71,40,500,5
5.61,0.21,41.14,0.49,17.2,165.88,40,550,5
5.56,0.21,40.83,0.47,21.23,126.2,40,550,5
5.61,214.45,43.29,0.52,15.54,201.9,40,550,5
5.62,0.22,43.44,0.53,15.41,204,40,550,5
5.43,0.21,34.01,0.39,22.5,52.7,40,550,5
4.94,0.23,44.47,0.51,18.15,277.65,40,600,5
5.02,0.22,38.89,0.44,21.85,146.05,40,600,5
5.1,223.73,38.79,0.44,21.46,131.41,40,600,5
4.73,0.23,36.43,0.39,25.54,101.81,40,600,5
7.34,0.33,49.67,1.22,13.47,497.65,40,600,5
7.32,0.34,50.22,1.24,13.73,562.39,40,600,5
7.52,0.34,49.59,1.27,14.48,555.77,40,600,5
7.02,0.34,48.45,1.16,16,514.67,40,600,5
7.36,0.35,51.52,1.34,13.22,648.74,40,600,5
7.24,0.34,51.17,1.27,12.93,606.18,40,600,5
6.96,0.35,50.55,1.22,14.6,633.66,40,600,5
6.86,0.35,47.9,1.15,18.79,567.39,40,600,5
4.35,0.32,54.93,0.76,14.41,994.53,107,600,5
4.47,0.32,54.9,0.79,14.1,1021.26,107,600,5
4.66,0.32,55.2,0.83,13.59,1014.84,107,600,5
4.74,0.33,55.31,0.86,13.43,1014.91,107,600,5
4.77,0.32,54.13,0.83,13.66,821.83,107,600,5
4.85,0.32,54.09,0.84,13.62,847.21,107,600,5
4.94,0.33,54.3,0.88,13.39,851.23,107,600,5
5.12,0.33,54.63,0.92,12.82,852.5,107,600,5
5.7,0.33,55.28,1.04,11.23,849.77,185,600,5
5.34,0.33,56.2,0.98,11.51,1001.14,185,600,5
5.19,0.32,55.84,0.94,11.92,979.46,185,600,5
5.19,0.32,55.58,0.92,11.94,936.91,185,600,5
6.17,0.33,55.02,1.13,10.63,743.71,185,600,5
5.77,0.33,55.21,1.05,11.18,838.3,185,600,5
5.63,0.33,55.23,1.01,11.41,854.42,185,600,5
5.6,0.32,54.4,0.99,11.92,790.03,185,600,5
5.11,0.33,55.15,0.92,14.01,1067.45,340,600,5
5.06,0.33,56.42,0.94,12.9,1125.09,340,600,5
5.15,0.33,56.07,0.95,13.01,1085.77,340,600,5
5.36,0.33,56.41,1,12.31,1097.49,340,600,5
5.07,0.33,55.53,0.93,13.56,1085.09,340,600,5
5.06,0.33,55.83,0.93,13.07,1108.2,340,600,5
5.13,0.33,55.77,0.94,12.72,1035.56,340,600,5
5.32,0.32,55.23,0.96,12.54,941.68,340,600,5
5.38,0.33,50.44,0.89,15.71,367.92,475,600,5
5.23,0.33,50.89,0.88,13.92,285.64,475,600,5
5.25,0.34,52.18,0.92,13.35,316.85,475,600,5
5.31,0.34,52.89,0.96,12.93,342.59,475,600,5
5.51,0.32,53.06,0.94,13.6,585.65,475,600,5
5.36,0.33,53.27,0.94,12.85,430.96,475,600,5
5.41,0.34,52.74,0.96,12.71,334.44,475,600,5
5.45,0.34,54.7,1.02,12.46,552.15,475,600,5
