iter	Passed	Remaining
438	3165	4045
439	3171	4037
440	3178	4028
441	3184	4020
442	3190	4011
443	3196	4002
444	3202	3994
445	3208	3985
446	3215	3977
447	3221	3969
448	3227	3960
449	3233	3952
450	3239	3943
451	3245	3934
452	3251	3926
453	3258	3918
454	3264	3910
455	3271	3902
456	3277	3894
457	3283	3885
458	3288	3876
459	3294	3867
460	3301	3859
461	3307	3851
462	3313	3843
463	3319	3834
464	3326	3826
465	3332	3818
466	3338	3810
467	3344	3802
468	3350	3793
469	3356	3784
470	3362	3776
471	3368	3768
472	3374	3759
473	3380	3751
474	3386	3743
475	3393	3735
476	3398	3726
477	3404	3717
478	3410	3709
479	3416	3701
480	3422	3692
481	3428	3684
482	3433	3675
483	3440	3668
484	3446	3659
485	3452	3651
486	3458	3643
487	3465	3635
488	3471	3627
489	3477	3619
490	3484	3612
491	3490	3603
492	3496	3595
493	3502	3587
494	3509	3580
495	3515	3572
496	3522	3564
497	3528	3556
498	3535	3549
499	3541	3541
500	3547	3533
501	3554	3526
502	3561	3518
503	3567	3511
504	3574	3503
505	3581	3496
506	3587	3488
507	3593	3480
508	3600	3473
509	3606	3465
510	3613	3457
511	3620	3450
512	3626	3442
513	3632	3435
514	3638	3426
515	3645	3419
516	3652	3412
517	3659	3405
518	3666	3398
519	3673	3391
520	3680	3383
521	3687	3376
522	3693	3369
523	3700	3361
524	3707	3354
525	3714	3347
526	3721	3340
527	3728	3332
528	3735	3326
529	3744	3320
530	3753	3314
531	3761	3309
532	3769	3303
533	3777	3296
534	3785	3290
535	3793	3283
536	3801	3277
537	3809	3271
538	3817	3264
539	3825	3258
540	3833	3252
541	3840	3245
542	3848	3238
543	3856	3232
544	3864	3226
545	3872	3219
546	3879	3212
547	3888	3207
548	3896	3201
549	3904	3194
550	3911	3187
551	3919	3180
552	3926	3173
553	3934	3167
554	3941	3160
555	3947	3152
556	3953	3144
557	3960	3137
558	3967	3129
559	3973	3122
560	3980	3115
561	3988	3108
562	3995	3101
563	4002	3094
564	4009	3087
565	4016	3079
566	4022	3072
567	4029	3064
568	4036	3057
569	4043	3050
570	4050	3043
571	4057	3035
572	4064	3028
573	4070	3021
574	4077	3014
575	4084	3006
576	4091	2999
577	4097	2991
578	4104	2984
579	4111	2977
580	4117	2969
581	4124	2962
582	4130	2954
583	4136	2946
584	4143	2939
585	4150	2932
586	4157	2925
587	4163	2917
588	4170	2910
589	4177	2902
590	4183	2895
591	4190	2887
592	4196	2880
593	4203	2873
594	4210	2865
595	4217	2858
596	4223	2851
597	4230	2844
598	4237	2836
599	4243	2829
600	4249	2821
601	4255	2813
602	4262	2806
603	4268	2798
604	4274	2790
605	4280	2783
606	4287	2775
607	4293	2768
608	4299	2760
609	4305	2752
610	4312	2745
611	4318	2737
612	4324	2730
613	4331	2722
614	4337	2715
615	4343	2707
616	4350	2700
617	4356	2692
618	4362	2685
619	4368	2677
620	4375	2670
621	4382	2663
622	4388	2655
623	4395	2648
624	4401	2640
625	4408	2633
626	4414	2626
627	4421	2618
628	4427	2611
629	4433	2603
630	4439	2596
631	4445	2588
632	4451	2580
633	4457	2573
634	4464	2566
635	4471	2558
636	4477	2551
637	4483	2543
638	4489	2536
639	4495	2528
640	4502	2521
641	4508	2514
642	4515	2506
643	4521	2499
644	4529	2492
645	4535	2485
646	4542	2478
647	4549	2471
648	4556	2464
649	4563	2457
650	4571	2450
651	4578	2443
652	4585	2436
653	4591	2429
654	4597	2421
655	4604	2414
656	4611	2407
657	4617	2400
658	4624	2392
659	4631	2385
660	4637	2378
661	4644	2371
662	4651	2364
663	4658	2357
664	4664	2349
665	4671	2342
666	4677	2335
667	4683	2327
668	4689	2320
669	4696	2313
670	4703	2306
671	4710	2299
672	4717	2292
673	4724	2285
674	4730	2277
675	4737	2270
676	4743	2263
677	4749	2255
678	4756	2248
679	4758	2239
680	4764	2232
681	4771	2224
682	4777	2217
683	4783	2209
684	4789	2202
685	4795	2194
686	4801	2187
687	4807	2180
688	4814	2173
689	4821	2166
690	4827	2158
691	4834	2151
692	4840	2144
693	4846	2136
694	4852	2129
695	4858	2122
696	4865	2115
697	4872	2108
698	4879	2101
699	4886	2094
700	4893	2087
701	4899	2079
702	4906	2072
703	4912	2065
704	4919	2058
705	4926	2051
706	4933	2044
707	4940	2037
708	4947	2030
709	4954	2023
710	4961	2016
711	4967	2009
712	4974	2002
713	4982	1995
714	4988	1988
715	4994	1981
716	5001	1974
717	5007	1966
718	5014	1959
719	5021	1952
720	5027	1945
721	5033	1938
722	5040	1931
723	5047	1924
724	5054	1917
725	5060	1910
726	5068	1903
727	5074	1896
728	5082	1889
729	5089	1882
730	5096	1875
731	5102	1868
732	5108	1860
733	5115	1853
734	5122	1846
735	5128	1839
736	5134	1832
737	5141	1825
738	5147	1818
739	5154	1810
740	5161	1804
741	5167	1796
742	5174	1789
743	5181	1782
744	5188	1775
745	5195	1769
746	5204	1762
747	5211	1755
748	5219	1749
749	5226	1742
750	5234	1735
751	5241	1728
752	5249	1721
753	5257	1715
754	5264	1708
755	5271	1701
756	5279	1694
757	5286	1687
758	5294	1681
759	5301	1674
760	5309	1667
761	5316	1660
762	5324	1653
763	5331	1646
764	5340	1640
765	5347	1633
766	5355	1626
767	5362	1619
768	5369	1613
769	5377	1606
770	5383	1599
771	5390	1592
772	5397	1585
773	5404	1577
774	5411	1571
775	5418	1564
776	5424	1556
777	5431	1549
778	5438	1542
779	5446	1536
780	5453	1529
781	5460	1522
782	5467	1515
783	5474	1508
784	5480	1501
785	5487	1494
786	5493	1486
787	5500	1479
788	5507	1472
789	5514	1465
790	5521	1458
791	5527	1451
792	5533	1444
793	5540	1437
794	5546	1430
795	5553	1423
796	5560	1416
797	5567	1409
798	5573	1402
799	5580	1395
800	5588	1388
801	5594	1381
802	5601	1374
803	5608	1367
804	5614	1360
805	5621	1353
806	5628	1346
807	5634	1338
808	5641	1331
809	5648	1324
810	5654	1317
811	5660	1310
812	5667	1303
813	5673	1296
814	5680	1289
815	5687	1282
816	5693	1275
817	5700	1268
818	5706	1261
819	5713	1254
820	5719	1247
821	5726	1239
822	5732	1232
823	5739	1225
824	5745	1218
825	5752	1211
826	5759	1204
827	5765	1197
828	5772	1190
829	5779	1183
830	5785	1176
831	5792	1169
832	5799	1162
833	5806	1155
834	5813	1148
835	5820	1141
836	5827	1134
837	5834	1127
838	5840	1120
839	5847	1113
840	5854	1106
841	5861	1099
842	5868	1092
843	5875	1086
844	5882	1079
845	5889	1072
846	5895	1064
847	5902	1057
848	5908	1050
849	5915	1043
850	5922	1036
851	5928	1029
852	5935	1022
853	5942	1015
854	5948	1008
855	5955	1001
856	5962	994
857	5968	987
858	5975	980
859	5981	973
860	5987	966
861	5994	959
862	6000	952
863	6007	945
864	6013	938
865	6020	931
866	6026	924
867	6033	917
868	6040	910
869	6046	903
870	6053	896
871	6060	889
872	6066	882
873	6073	875
874	6080	868
875	6087	861
876	6094	854
877	6101	847
878	6107	840
879	6113	833
880	6121	826
881	6128	819
882	6135	812
883	6142	805
884	6148	798
885	6156	792
886	6163	785
887	6179	779
888	6187	772
889	6198	766
890	6208	759
891	6217	752
892	6225	745
893	6233	739
894	6242	732
895	6251	725
896	6259	718
897	6267	711
898	6274	704
899	6282	698
900	6289	691
901	6296	684
902	6304	677
903	6311	670
904	6318	663
905	6325	656
906	6333	649
907	6339	642
908	6346	635
909	6354	628
910	6361	621
911	6368	614
912	6376	607
913	6383	600
914	6390	593
915	6397	586
916	6403	579
917	6410	572
918	6417	565
919	6425	558
920	6431	551
921	6439	544
922	6446	537
923	6453	530
924	6460	523
925	6468	516
926	6476	510
927	6485	503
928	6494	496
929	6503	489
930	6512	482
931	6521	475
932	6530	468
933	6540	462
934	6548	455
935	6557	448
936	6566	441
937	6574	434
938	6582	427
939	6589	420
940	6597	413
941	6605	406
942	6612	399
943	6620	392
944	6628	385
945	6635	378
946	6643	371
947	6651	364
948	6659	357
949	6666	350
950	6674	343
951	6681	336
952	6688	329
953	6696	322
954	6703	315
955	6711	308
956	6718	301
957	6726	294
958	6733	287
959	6741	280
960	6748	273
961	6754	266
962	6761	259
963	6769	252
964	6776	245
965	6783	238
966	6790	231
967	6797	224
968	6804	217
969	6812	210
970	6818	203
971	6825	196
972	6832	189
973	6840	182
974	6848	175
975	6855	168
976	6861	161
977	6869	154
978	6876	147
979	6884	140
980	6891	133
981	6899	126
982	6906	119
983	6914	112
984	6921	105
985	6929	98
986	6936	91
987	6943	84
988	6950	77
989	6957	70
990	6964	63
991	6971	56
992	6977	49
993	6984	42
994	6990	35
995	6998	28
996	7004	21
997	7011	14
998	7017	7
999	7024	0
